Year;Gold_Time;Silver_Time;Bronze_Time
1968;9.95;10.04;10.07
1972;10.14;10.24;10.33
1976;10.06;10.08;10.14
1980;10.25;10.27;10.29
1984;9.99;10.19;10.22
1988;9.92;9.97;9.99
1992;9.96;10.02;10.04
1996;9.84;9.89;9.90
2000;9.87;9.99;10.04
2004;9.85;9.86;10.08
2008;9.69;9.89;9.91
2012;9.63;9.75;9.79
2016;9.81;9.89;9.91
2020;9.80;9.84;9.89
