Year;Gold_Time;Silver_Time;Bronze_Time
1968;43.86;43.97;44.41
1972;44.66;44.80;44.92
1976;44.26;44.40;44.95
1980;44.60;44.84;45.26
1984;44.27;44.54;44.71
1988;43.87;43.93;44.09
1992;43.50;44.21;44.24
1996;43.49;44.41;44.63
2000;43.84;44.40;44.70
2004;44.00;44.16;44.42
2008;43.75;44.74;44.80
2012;43.94;44.46;44.52
2016;43.03;43.76;43.85
2020;43.85;44.08;44.19
