Year;Gold_Time;Silver_Time;Bronze_Time
1968;19.83;20.06;20.10
1972;20.00;20.19;20.30
1976;20.22;20.29;20.43
1980;20.19;20.21;20.29
1984;19.80;19.96;20.26
1988;19.75;19.79;20.04
1992;20.01;20.13;20.38
1996;19.32;19.68;19.80
2000;20.09;20.14;20.20
2004;19.79;20.01;20.25
2008;19.30;19.96;19.95
2012;19.32;19.44;19.84
2016;19.78;20.02;20.12
2020;19.62;19.68;19.74
